uri,fullName,firstName,lastName,image,memberCode,houses,houseCodes,parties,constituencies,representTypes,committees
https://data.oireachtas.ie/ie/oireachtas/member/id/Rónán-Mullen.S.2007-07-23,Rónán Mullen,Rónán,Mullen,False,Rónán-Mullen.S.2007-07-23,27th Seanad,seanad,Independent,National University of Ireland,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Jennifer-Murnane-O'Connor.S.2016-04-25,Jennifer Murnane O'Connor,Jennifer,Murnane O'Connor,False,Jennifer-Murnane-O'Connor.S.2016-04-25,34th Dáil,dail,Fianna Fáil,Carlow-Kilkenny,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Conor-Murphy.S.2025-01-29,Conor Murphy,Conor,Murphy,False,Conor-Murphy.S.2025-01-29,27th Seanad,seanad,Sinn Féin,Industrial and Commercial Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Murphy.D.2024-11-29,Michael Murphy,Michael,Murphy,False,Michael-Murphy.D.2024-11-29,34th Dáil,dail,Fine Gael,Tipperary South,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/PJ-Murphy.S.2025-01-29,PJ Murphy,PJ,Murphy,False,PJ-Murphy.S.2025-01-29,27th Seanad,seanad,Fine Gael,Agricultural Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Paul-Murphy.D.2014-10-10,Paul Murphy,Paul,Murphy,False,Paul-Murphy.D.2014-10-10,34th Dáil,dail,People Before Profit-Solidarity,Dublin South-West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Verona-Murphy.D.2020-02-08,Verona Murphy,Verona,Murphy,False,Verona-Murphy.D.2020-02-08,34th Dáil,dail,Independent,Wexford,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Margaret-Murphy-O'Mahony.D.2016-10-03,Margaret Murphy O'Mahony,Margaret,Murphy O'Mahony,False,Margaret-Murphy-O'Mahony.D.2016-10-03,27th Seanad,seanad,Fianna Fáil,Labour Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Johnny-Mythen.D.2020-02-08,Johnny Mythen,Johnny,Mythen,False,Johnny-Mythen.D.2020-02-08,34th Dáil,dail,Sinn Féin,Wexford,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Gerald-Nash.D.2011-03-09,Ged Nash,Ged,Nash,False,Gerald-Nash.D.2011-03-09,34th Dáil,dail,Labour Party,Louth,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Hildegarde-Naughton.S.2013-07-19,Hildegarde Naughton,Hildegarde,Naughton,False,Hildegarde-Naughton.S.2013-07-19,34th Dáil,dail,Fine Gael,Galway West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Linda-Nelson-Murray.S.2025-01-29,Linda Nelson Murray,Linda,Nelson Murray,False,Linda-Nelson-Murray.S.2025-01-29,27th Seanad,seanad,Fine Gael,Industrial and Commercial Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Joe-Neville.D.2024-11-29,Joe Neville,Joe,Neville,False,Joe-Neville.D.2024-11-29,34th Dáil,dail,Fine Gael,Kildare North,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Natasha-Newsome-Drennan.D.2024-11-29,Natasha Newsome Drennan,Natasha,Newsome Drennan,False,Natasha-Newsome-Drennan.D.2024-11-29,34th Dáil,dail,Sinn Féin,Carlow-Kilkenny,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Carol-Nolan.D.2016-10-03,Carol Nolan,Carol,Nolan,False,Carol-Nolan.D.2016-10-03,34th Dáil,dail,Independent,Offaly,constituency,
